ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
0,62,20,40,20,93
12,3,20,40,20,98
18,30,20,40,20,90
21,15,20,40,20,94
48,137,20,40,20,85
91,217,20,40,20,72
96,25,20,40,20,109
137,206,20,40,20,134
145,40,20,40,20,96
147,11,20,40,20,74
240,468,20,40,20,91
250,50,20,40,20,130
260,51,20,40,20,76
273,68,20,40,20,98
334,309,20,40,20,103
348,70,20,40,20,84
415,335,20,40,20,126
438,119,20,40,20,134
440,3,20,40,20,83 
492,12,20,40,20,91
