ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
0,35,25,68,96,70
7,27,19,18,88,54
12,183,59,73,58,366
48,289,88,10,41,578
105,135,25,49,32,270
132,77,7,44,80,154
147,65,6,84,65,130
160,115,26,10,13,230
183,100,70,84,28,200
203,30,58,87,83,60
209,14,84,95,64,28
211,64,28,83,62,128
223,259,14,70,45,518
274,5,72,79,6,10
275,11,4,85,69,22
277,79,40,22,43,158
292,122,64,22,53,244
316,47,75,32,87,94
325,58,47,8,45,116
336,78,59,98,68,156
351,78,55,56,94,156
366,197,41,58,64,394
405,9,54,33,82,18
406,102,22,66,11,204
426,13,40,71,31,26
428,359,55,45,4,718
499,3,49,16,89,6
521,111,82,97,40,222
603,411,52,1,6,822
608,27,4,33,22,54
643,176,86,15,28,352
652,45,72,99,54,90
662,50,94,89,25,100
667,26,66,48,55,52
674,36,16,73,93,72
690,80,5,78,70,160
709,96,64,60,89,192
726,87,29,98,65,174
730,23,43,84,13,46
785,278,9,60,98,556
807,112,27,24,21,224
837,154,57,55,1,308
886,245,84,25,57,490
888,11,95,63,7,22
931,219,89,50,62,438
956,126,31,72,41,252
959,19,85,44,60,38
979,101,57,39,75,202
981,14,51,90,98,28
1002,109,60,51,33,218
1052,253,63,61,66,506
1056,23,74,11,7,46
1074,94,43,57,67,188
1080,32,6,69,85,64
1114,171,5,13,29,342
1134,102,80,11,72,204
1147,69,55,54,5,138
1176,146,44,31,89,292
1182,32,53,33,8,64
1202,102,22,43,70,204
1221,96,50,98,60,192
1270,247,93,18,20,494
1311,205,3,17,70,410
1329,92,3,41,22,184
1339,50,84,32,62,100
1348,49,36,39,54,98
1351,17,89,85,33,34
1353,13,30,82,33,26
1355,13,54,93,56,26
1373,94,16,50,61,188
1409,182,22,55,45,364
1419,51,93,31,67,102
1437,90,27,22,69,180
1455,94,3,98,55,188
1471,82,11,12,97,164
1480,48,79,35,44,96
1488,42,61,79,3,84
1491,18,1,23,78,36
1530,196,19,4,24,392
1537,38,86,97,19,76
1550,67,72,18,94,134
1554,24,79,74,61,48
1574,104,92,22,94,208
1587,69,99,46,68,138
1643,280,28,37,23,560
1645,14,73,89,75,28
1652,35,15,73,69,70
1655,17,67,16,64,34
1665,54,28,81,81,108
1720,277,29,31,7,554
1742,112,66,6,46,224
1761,99,54,83,69,198
1789,141,95,2,55,282
1797,42,15,6,11,84
1800,18,1,62,24,36
1805,29,70,38,76,58
1806,8,39,96,47,16
1816,50,51,44,50,100
1819,16,82,15,12,32
1844,125,1,55,61,250
