Acceptance_Rate,Overall_Utilization,Task_Completion_Time,No_of_Completed_Tasks,No_of_Rejected_Tasks,Node_Count,Total_Num_Tasks
20,100,24,1,4,1,74
40,75,46,2,3,2,74
80,71,35,4,1,3,74
80,62,30,4,1,4,74
80,57,26,4,1,5,74
80,50,25,4,1,6,74
80,46,23,4,1,7,74
80,42,22,4,1,8,74
100,49,28,5,0,9,74
100,46,27,5,0,10,74
100,43,26,5,0,11,74
100,43,24,5,0,12,74
100,43,22,5,0,13,74
100,42,21,5,0,14,74
100,41,20,5,0,15,74
30,71,115,9,21,1,124
73,71,131,22,8,2,124
100,59,121,30,0,3,124
100,45,119,30,0,4,124
100,36,118,30,0,5,124
100,30,117,30,0,6,124
100,26,117,30,0,7,124
100,23,117,30,0,8,124
100,20,116,30,0,9,124
100,18,116,30,0,10,124
100,17,116,30,0,11,124
100,15,116,30,0,12,124
100,14,116,30,0,13,124
100,13,116,30,0,14,124
100,12,116,30,0,15,124
7,62,2236,7,93,1,9432
12,74,2273,12,88,2,9432
31,71,2273,31,69,3,9432
47,68,2273,47,53,4,9432
60,69,2273,60,40,5,9432
69,68,2273,69,31,6,9432
77,66,2273,77,23,7,9432
84,65,2273,84,16,8,9432
88,65,2273,88,12,9,9432
89,65,2273,89,11,10,9432
91,65,2273,91,9,11,9432
93,64,2273,93,7,12,9432
95,64,2273,95,5,13,9432
96,64,2273,96,4,14,9432
98,64,2273,98,2,15,9432
27,74,629,27,73,1,633
63,74,639,63,37,2,633
100,57,630,100,0,3,633
100,43,628,100,0,4,633
100,34,625,100,0,5,633
100,29,625,100,0,6,633
100,24,624,100,0,7,633
100,21,624,100,0,8,633
100,19,624,100,0,9,633
100,17,623,100,0,10,633
100,15,623,100,0,11,633
100,14,623,100,0,12,633
100,13,623,100,0,13,633
100,12,623,100,0,14,633
100,11,623,100,0,15,633
28,78,295,14,36,1,295
68,74,299,34,16,2,295
100,58,293,50,0,3,295
100,43,293,50,0,4,295
100,35,292,50,0,5,295
100,29,292,50,0,6,295
100,25,292,50,0,7,295
100,21,291,50,0,8,295
100,19,290,50,0,9,295
100,17,290,50,0,10,295
100,16,290,50,0,11,295
100,14,290,50,0,12,295
100,13,290,50,0,13,295
100,12,290,50,0,14,295
100,11,290,50,0,15,295
21,66,271,13,47,1,274
63,73,279,38,22,2,274
100,58,272,60,0,3,274
100,44,271,60,0,4,274
100,35,270,60,0,5,274
100,29,270,60,0,6,274
100,25,270,60,0,7,274
100,22,270,60,0,8,274
100,19,269,60,0,9,274
100,17,268,60,0,10,274
100,16,268,60,0,11,274
100,14,268,60,0,12,274
100,13,268,60,0,13,274
100,12,268,60,0,14,274
100,11,268,60,0,15,274
24,77,851,37,113,1,851
58,74,852,88,62,2,851
100,57,850,150,0,3,851
100,43,850,150,0,4,851
100,34,850,150,0,5,851
100,28,850,150,0,6,851
100,24,850,150,0,7,851
100,21,850,150,0,8,851
100,19,850,150,0,9,851
100,17,850,150,0,10,851
100,15,850,150,0,11,851
100,14,850,150,0,12,851
100,13,850,150,0,13,851
100,12,850,150,0,14,851
100,11,850,150,0,15,851
