ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
0,1,20,40,30,2
1,1,20,40,30,2
2,1,20,40,30,2
3,13,20,40,30,26
16,4,20,40,30,8
20,13,20,40,30,26
33,6,20,40,30,12
39,1,20,40,30,2
40,1,20,40,30,2
41,1,20,40,30,2
42,14,20,40,30,28
56,2,20,40,30,4
58,1,20,40,30,2
59,5,20,40,30,10
64,9,20,40,30,18
73,21,20,40,30,42
94,14,20,40,30,28
108,2,20,40,30,4
110,1,20,40,30,2
111,7,20,40,30,14
118,2,20,40,30,4
120,4,20,40,30,8
124,5,20,40,30,10
129,3,20,40,30,6
132,4,20,40,30,8
136,1,20,40,30,2
137,4,20,40,30,8
141,4,20,40,30,8
145,3,20,40,30,6
148,1,20,40,30,2
149,1,20,40,30,2
150,8,20,40,30,16
158,12,20,40,30,24
170,1,20,40,30,2
171,6,20,40,30,12
177,7,20,40,30,14
184,3,20,40,30,6
187,1,20,40,30,2
188,4,20,40,30,8
192,2,20,40,30,4
194,4,20,40,30,8
198,2,20,40,30,4
200,9,20,40,30,18
209,8,20,40,30,16
217,2,20,40,30,4
219,2,20,40,30,4
221,10,20,40,30,20
231,12,20,40,30,24
243,7,20,40,30,14
250,8,20,40,30,16
258,9,20,40,30,18
267,21,20,40,30,42
288,1,20,40,30,2
289,6,20,40,30,12
295,2,20,40,30,4
297,2,20,40,30,4
299,5,20,40,30,10
304,2,20,40,30,4
306,20,20,40,30,40
326,5,20,40,30,10
331,1,20,40,30,2
332,3,20,40,30,6
335,10,20,40,30,20
345,1,20,40,30,2
346,4,20,40,30,8
350,6,20,40,30,12
356,7,20,40,30,14
363,8,20,40,30,16
371,5,20,40,30,10
376,1,20,40,30,2
377,1,20,40,30,2
378,14,20,40,30,28
392,1,20,40,30,2
393,3,20,40,30,6
396,5,20,40,30,10
401,6,20,40,30,12
407,1,20,40,30,2
408,1,20,40,30,2
409,4,20,40,30,8
413,1,20,40,30,2
414,3,20,40,30,6
417,12,20,40,30,24
429,1,20,40,30,2
430,2,20,40,30,4
432,6,20,40,30,12
438,2,20,40,30,4
440,5,20,40,30,10
445,13,20,40,30,26
458,7,20,40,30,14
465,2,20,40,30,4
467,4,20,40,30,8
471,1,20,40,30,2
472,15,20,40,30,30
487,15,20,40,30,30
502,10,20,40,30,20
512,1,20,40,30,2
513,2,20,40,30,4
515,5,20,40,30,10
520,2,20,40,30,4
522,1,20,40,30,2
