ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
0,23,20,40,20,9
4,69,20,40,20,9
17,45,20,40,20,7
26,52,20,40,20,11
36,157,20,40,20,11
67,78,20,40,20,5
82,36,20,40,20,10
89,14,20,40,20,8
91,8,20,40,20,11
92,357,20,40,20,11
163,50,20,40,20,13
173,89,20,40,20,8
190,171,20,40,20,12
224,77,20,40,20,12
239,171,20,40,20,10
273,155,20,40,20,8
304,113,20,40,20,10
326,79,20,40,20,11
341,44,20,40,20,12
349,135,20,40,20,8
