ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
0,42,33,75,8,84
8,48,51,30,77,96
17,124,18,49,11,248
41,127,21,68,1,254
66,21,44,97,91,42
70,182,12,47,68,364
106,1,65,35,57,2
109,15,11,33,26,30
159,251,20,26,16,502
171,61,37,26,18,122
188,89,96,47,42,178
194,30,16,14,75,60
223,146,15,20,1,292
224,8,55,53,46,16
278,274,48,97,10,548
304,130,92,66,51,260
312,42,77,84,58,84
315,16,11,87,54,32
322,35,92,40,94,70
328,30,82,43,61,60
331,19,51,62,6,38
337,30,40,19,61,60
338,5,25,64,86,10
344,32,28,10,84,64
353,48,61,64,91,96
358,1,39,63,92,2
391,27,20,74,96,54
400,168,35,58,72,336
463,46,96,32,86,92
471,318,29,22,76,636
522,43,90,44,63,86
534,258,62,54,92,516
559,61,42,18,19,122
591,127,58,77,14,254
607,163,48,92,19,326
624,81,47,29,96,162
657,89,52,47,69,178
669,165,67,81,60,330
681,63,92,31,79,126
684,63,46,74,74,126
704,15,59,10,9,30
810,100,13,71,56,200
861,534,61,37,42,1068
889,258,41,16,70,516
936,141,60,6,59,282
942,235,90,42,8,470
968,33,10,60,86,66
1016,130,85,68,2,260
1046,241,36,21,56,482
1065,151,54,29,6,302
1090,96,8,43,27,192
1109,126,58,95,61,252
1113,99,62,14,58,198
1126,23,58,33,89,46
1172,68,22,69,38,136
1181,232,39,10,11,464
1191,46,73,24,57,92
1193,50,71,55,33,100
1200,11,52,24,76,22
1214,36,93,50,12,72
1239,73,46,69,8,146
1268,129,21,57,6,258
1281,146,76,21,85,292
1285,1,85,17,74,2
1291,69,79,21,90,138
1292,23,25,45,77,46
1315,33,25,22,76,66
1322,7,53,38,54,14
1334,119,95,75,49,238
1351,36,37,65,79,72
1369,64,16,19,11,128
1385,87,92,14,87,174
1433,92,46,82,22,184
1477,2,90,69,88,4
1481,83,40,83,8,166
1483,241,54,87,59,482
1532,222,85,85,79,444
1591,23,84,78,52,46
1601,12,45,7,60,24
1615,247,16,2,39,494
1650,295,39,76,49,590
1661,50,42,88,30,100
1701,72,1,38,76,144
1756,176,29,24,21,352
1807,58,50,67,5,116
1817,202,61,8,4,404
1825,278,93,35,38,556
1845,256,46,1,29,512
1846,54,37,21,19,108
1941,43,15,62,32,86
1951,104,31,50,36,208
1958,9,33,20,27,18
1962,479,87,71,33,958
1977,52,68,48,50,104
1990,38,30,38,96,76
2037,20,17,3,19,40
2045,79,76,66,25,158
2080,68,68,22,32,136
2134,236,12,44,70,472
2202,42,39,71,24,84
2221,175,18,92,62,350
2248,273,79,52,19,546
2308,340,63,31,57,680
2316,96,49,98,39,192
2339,137,80,48,20,274
2344,301,18,59,91,602
2363,40,36,75,84,80
2438,118,94,22,83,236
2442,29,42,10,88,58
2466,99,20,21,80,198
2551,376,7,25,12,752
2575,21,42,56,23,42
2597,123,90,81,18,246
2614,425,18,78,70,850
2616,121,18,34,62,242
2623,111,21,50,12,222
2630,86,98,25,35,172
2634,12,50,80,84,24
2640,36,76,64,26,72
2643,38,12,90,32,76
2660,23,31,19,57,46
2677,32,29,83,12,64
2700,18,88,8,81,36
2705,87,23,13,12,174
2764,88,38,8,29,176
2794,119,20,20,83,238
2796,25,23,51,3,50
2803,298,8,84,44,596
2825,152,57,15,74,304
2845,12,32,80,7,24
2855,37,10,18,95,74
2883,112,37,65,57,224
2901,103,78,86,83,206
2902,51,61,4,73,102
2974,142,99,32,92,284
2975,90,72,83,79,180
3001,7,82,31,34,14
3052,3,69,87,82,6
3057,360,32,87,55,720
3077,6,14,48,22,12
3103,131,93,12,6,262
3128,258,95,33,79,516
3171,25,78,80,29,50
3181,101,85,41,43,202
3182,132,42,61,21,264
3238,127,2,29,13,254
3246,215,62,56,4,430
3273,52,56,2,17,104
3279,9,4,77,49,18
3280,283,59,9,50,566
3338,44,16,21,15,88
3367,135,71,32,73,270
3374,31,7,99,88,62
3382,8,14,98,22,16
3402,294,60,30,54,588
3407,148,2,44,72,296
3410,37,33,23,73,74
3456,41,86,40,81,82
3473,101,30,46,35,202
3475,29,74,37,24,58
3536,16,3,40,5,32
3544,230,17,69,91,460
3575,89,72,54,55,178
3611,13,72,87,41,26
3623,307,66,53,1,614
3648,42,66,29,59,84
3660,155,54,13,28,310
3662,180,81,7,95,360
3682,4,52,57,23,8
3701,62,25,94,58,124
3729,125,94,95,6,250
3731,62,44,55,68,124
3743,12,84,15,23,24
3758,104,7,30,41,208
3811,95,89,87,27,190
3828,143,88,12,69,286
3847,10,83,23,82,20
3864,4,74,67,20,8
3866,63,87,80,41,126
3891,79,5,69,90,158
3895,265,51,81,68,530
3897,88,27,21,76,176
3908,95,89,85,28,190
3945,86,15,25,26,172
3952,10,37,29,92,20
3957,125,56,80,59,250
3982,24,99,79,75,48
3985,10,95,7,23,20
3993,56,74,25,14,112
4020,187,5,95,10,374
4033,37,47,9,52,74
4052,28,85,35,1,56
4074,127,39,71,43,254
4081,16,98,45,60,32
